apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A13309402,금호동롯데아파트,아파트,서울특별시 성동구 동호로 84,서울,성동구,금호동4가,1250,분양,249,롯데건설,21160.0,284.0,127.0170466,37.5469147,7,7.0,20,7,47.0,3,5,8,112.0,3.258096538021482,13.0,7.0,25.0,0
A10023593,신정동 보람쉬움아파트,아파트,,서울,양천구,신정동,,분양,125,"대경,우양,평화 재건축 주택조합",9360.0,126.0,126.855503,37.525512,3,5.0,4,5,55.0,2,4,6,237.0,3.295836866004329,26.0,9.0,37.0,0
A12205001,갈현미미,아파트,서울특별시 은평구 갈현로29길 11,서울,은평구,갈현동,미미아파트,분양,200,(주) 강산건설,16488.0,209.0,126.913541,37.6189819,1,3.0,8,7,57.0,4,4,7,126.0,3.8501476017100575,10.0,10.0,48.0,0
A10024398,래미안 목동아델리체,아파트,서울특별시 양천구 중앙로43길 14,서울,양천구,신정동,,,1497,삼성물산(주),113066.0,2026.0,126.851496,37.518826,4,5.0,4,8,41.0,3,5,3,233.0,3.1780538303479458,19.0,8.0,32.0,0
A15703318,등촌주공11단지,아파트,서울특별시 강서구 공항대로43길 39,서울,강서구,등촌동,705-6번지,임대,350,백일건설,18870.0,292.0,126.8491076,37.559166,2,4.0,8,5,59.0,6,5,6,159.0,4.0943445622221,23.0,5.0,45.0,0
A15788203,화곡중앙하이츠,아파트,서울특별시 강서구 강서로17가길 46,서울,강서구,화곡동,351-89번지,분양,473,중앙건설,29806.0,165.0,126.8437889,37.5355465,6,3.0,0,5,71.0,2,3,7,269.0,2.772588722239781,13.0,8.0,48.0,0
A13984005,월계시영고층,아파트,서울특별시 노원구 마들로 111,서울,노원구,월계동,(월계동),분양,3930,미성.미륭.삼호,201468.0,2055.0,127.0657785,37.6239862,2,9.0,4,7,39.0,1,3,8,229.0,0.6931471805599453,19.0,11.0,31.0,0
A13905101,월계한일1차,아파트,서울특별시 노원구 석계로15길 25,서울,노원구,월계동,926,분양,190,한일건설(주),16330.0,238.0,127.0615753,37.6219737,3,9.0,6,9,25.0,2,4,5,214.0,2.079441541679836,16.0,12.0,23.0,0
A13075402,래미안엘파인,아파트,서울특별시 동대문구 한천로37길 33,서울,동대문구,답십리동,1000,분양,472,삼성물산,38293.0,558.0,127.065374,37.575779,2,1.0,2,4,63.0,3,4,8,164.0,3.6635616461296463,15.0,17.0,41.0,0
A13120003,면목두산6차,아파트,서울특별시 중랑구 답십리로77길 139,서울,중랑구,면목동,,분양,84,두산개발(주),6069.0,84.0,127.0806751,37.57760127,1,4.0,2,9,49.0,5,4,5,165.0,3.091042453358316,10.0,13.0,34.0,0
A15776617,등촌주공6단지,아파트,서울특별시 강서구 화곡로63가길 18,서울,강서구,등촌동,705,임대,559,대한주택공사,23018.0,0.0,126.8484236,37.5594739,2,4.0,14,3,66.0,6,5,6,159.0,4.127134385045092,24.0,5.0,47.0,0
A15782501,강서월드메르디앙,아파트,서울특별시 강서구 공항대로42길 54-26,서울,강서구,내발산동,,분양,160,월드건설,13883.0,247.0,126.843127,37.5568955,1,4.0,4,5,75.0,5,5,6,180.0,4.143134726391533,29.0,6.0,34.0,0
A13820004,가락1차현대아파트 ,아파트,서울특별시 송파구 동남로 160,서울,송파구,문정동,현대아파트,분양,514,현대산업개발,54728.0,257.0,127.1280554,37.4913441,1,9.0,7,5,59.0,3,5,7,175.0,3.737669618283368,26.0,3.0,30.0,0
A13905102,월계대동,아파트,서울특별시 노원구 광운로 46,서울,노원구,월계동,925번지 관리사무소,분양,258,(주)대동,18415.0,237.0,127.0607338,37.6218311,3,9.0,6,10,23.0,2,4,5,218.0,2.19722457733622,15.0,12.0,21.0,0
A15701002,우장산에스케이뷰,아파트,서울특별시 강서구 우현로 26,서울,강서구,화곡동,1158번지,분양,203,,18559.0,265.0,126.8430656,37.5481674,3,3.0,4,7,71.0,3,3,6,221.0,2.5649493574615367,20.0,8.0,32.0,0
A14207201,래미안수유(임대),아파트,서울특별시 강북구 한천로159길 8,서울,강북구,수유동,래미안수유(임대),임대,180,삼성물산,5897.0,126.0,127.0181926,37.6447964,1,5.0,6,9,43.0,4,2,9,126.0,3.4011973816621555,14.0,9.0,44.0,0
A14207202,래미안수유,아파트,서울특별시 강북구 한천로159길 8,서울,강북구,수유동,강북구수유2동730 래미안수유아파트,분양,510,삼성물산주택사업부,42712.0,610.0,127.0181926,37.6447964,1,5.0,6,9,43.0,4,2,9,126.0,3.4011973816621555,14.0,9.0,44.0,0
A13186801,신내다우훼밀리,아파트,서울특별시 중랑구 송림길 16,서울,중랑구,신내동,796번지,분양,152,다우종합건설,11642.0,161.0,127.0971514,37.6060585,4,9.0,9,5,52.0,3,5,8,144.0,4.262679877041316,8.0,9.0,24.0,0
A10024947,백련산 해모로 아파트,아파트,서울특별시 은평구 응암로30길 15,서울,은평구,응암동,,,760,한진중공업(주),50180.0,930.0,126.92186,37.596311,1,4.0,9,7,56.0,3,2,6,203.0,3.555348061489413,15.0,13.0,30.0,0
A15703309,등촌주공5단지,아파트,서울특별시 강서구 공항대로39길 74,서울,강서구,등촌동,695번지,분양,1045,대한주택공사,55884.0,650.0,126.8449392,37.5605195,2,4.0,10,4,75.0,4,5,6,155.0,4.204692619390966,26.0,5.0,34.0,0
A13122001,상봉건영캐스빌,아파트,서울특별시 중랑구 상봉중앙로8길 76,서울,중랑구,상봉동,499번지,분양,467,1,39530.0,531.0,127.0911038,37.6024565,0,8.0,2,6,51.0,4,3,7,180.0,3.4011973816621555,15.0,11.0,38.0,0
A13407002,"명일삼익가든1,2차",아파트,서울특별시 강동구 상암로 224,서울,강동구,명일동,,분양,768,(주)삼익주택,64102.0,654.0,127.1477263,37.5472116,0,4.0,5,7,62.0,6,4,6,158.0,4.189654742026425,17.0,9.0,20.0,0
A13292501,창동현대타운(주복),아파트,서울특별시 도봉구 도봉로114길 22-8,서울,도봉구,창동,,분양,158,현대건설,9492.0,175.0,127.0352336,37.6470839,1,5.0,11,6,46.0,6,4,5,205.0,2.639057329615259,14.0,11.0,31.0,0
A13816202,가락극동,아파트,서울특별시 송파구 동남로18길 9,서울,송파구,가락동,192번지,분양,555,극동건설(주),61628.0,821.0,127.1326936,37.4957046,1,8.0,6,8,43.0,3,4,6,207.0,4.143134726391533,26.0,3.0,24.0,0
A15603001,상도동원베네스트,아파트,서울특별시 동작구 상도로34길 42,서울,동작구,상도동,,분양,162,동원시스템즈(주)/건설,13731.0,185.0,126.9444312,37.5029264,1,7.0,12,6,50.0,3,2,9,146.0,4.04305126783455,18.0,9.0,42.0,0
A13481001,길동우성1차,아파트,서울특별시 강동구 천중로49길 58,서울,강동구,길동,서울강동구 길동 332번지,분양,162,우성건설,13216.0,64.0,127.1445299,37.5432755,0,4.0,2,8,65.0,6,3,6,161.0,3.951243718581428,20.0,9.0,31.0,0
A13905105,월계동현대,아파트,서울특별시 노원구 석계로 49,서울,노원구,월계동,,분양,1281,현대산업개발,104126.0,1469.0,127.0625936,37.6185533,3,8.0,6,10,22.0,2,3,5,216.0,3.295836866004329,18.0,11.0,29.0,0
A15784402,등촌태진아름,아파트,서울특별시 강서구 등촌로53길 39,서울,강서구,등촌동,676,분양,221,태진건설,17448.0,212.0,126.8616805,37.5493953,0,4.0,2,7,51.0,5,4,5,196.0,3.610917912644224,19.0,7.0,37.0,0
A10026046,청광플러스원 아파트,아파트,서울특별시 중랑구 동일로136길 15,서울,중랑구,중화동,,,109,청광종합건설(주),9188.0,123.0,127.0801746,37.60255682,1,10.0,8,6,32.0,1,4,9,156.0,3.367295829986474,15.0,15.0,31.0,0
A13922103,중계3벽산,아파트,서울특별시 노원구 덕릉로77길 5,서울,노원구,중계동,벽산아파트,분양,259,벽산건설,20810.0,294.0,127.0735683,37.654292,1,4.0,3,7,63.0,0,4,6,202.0,5.225746673713202,20.0,6.0,31.0,0
A10023934,엘크루발산아파트,,서울특별시 강서구 강서로56길 44,서울,강서구,등촌동,,임대,252,대우조선해양,4525.0,252.0,126.8412062,37.5591923,1,7.0,14,3,72.0,4,5,6,171.0,4.343805421853684,30.0,6.0,39.0,0
A13380901,브라운스톤금호아파트,아파트,서울특별시 성동구 매봉길 24,서울,성동구,금호동4가,,분양,217,이수건설,18410.0,248.0,127.0154576,37.5468722,6,9.0,18,6,51.0,3,5,8,104.0,3.258096538021482,15.0,7.0,25.0,0
A15881701,목동금강에스쁘아,아파트,서울특별시 양천구 목동중앙본로 15,서울,양천구,목동,목동금강에스쁘아아파트,분양,153,(주)금강종합건설,11861.0,159.0,126.8714021,37.5380526,2,3.0,10,9,45.0,3,4,7,148.0,4.330733340286331,26.0,7.0,24.0,0
A13187501,중화극동,아파트,서울특별시 중랑구 봉화산로27길 32,서울,중랑구,중화동,19번지,분양,156,극동건설,13006.0,160.0,127.0837949,37.6036519,1,10.0,4,7,33.0,1,4,8,180.0,3.1354942159291497,17.0,15.0,26.0,0
A14319011,자양우성1차,아파트,서울특별시 광진구 뚝섬로 569,서울,광진구,자양동,,분양,656,제일은행강동구청주택사업,43140.0,229.0,127.0755843,37.534414,3,4.0,8,4,62.0,1,5,8,114.0,4.04305126783455,19.0,9.0,50.0,0
A15081105,대림코오롱,아파트,서울특별시 영등포구 도영로 2-5,서울,영등포구,대림동,607-1,분양,481,코오롱건설,40052.0,565.0,126.8949211,37.5069364,2,6.0,6,4,47.0,1,4,9,176.0,2.5649493574615367,25.0,22.0,26.0,0
A10024488,꿈의숲아이파크아파트,아파트,서울특별시 성북구 돌곶이로40길 46,서울,성북구,장위동,,,1711,현대산업개발,118062.0,2054.0,127.047983,37.618675,3,4.0,14,7,22.0,2,4,4,178.0,3.258096538021482,9.0,20.0,22.0,0
A13485401,암사동한솔아파트,아파트,서울특별시 강동구 암사19길 25,서울,강동구,암사동,암사동한솔아파트,분양,203,한솔건설,18089.0,251.0,127.1403182,37.5520769,0,4.0,4,7,51.0,5,4,4,180.0,4.304065093204169,17.0,9.0,28.0,0
A15701003,우장산아이파크이편한세상,아파트,서울특별시 강서구 강서로 266,서울,강서구,화곡동,,분양,2517,"현대산업개발, 대림산업",215891.0,3250.0,126.8404024,37.5488035,4,3.0,2,8,69.0,2,3,7,220.0,4.007333185232471,24.0,7.0,35.0,0
A15609501,사당제일,아파트,서울특별시 동작구 사당로16다길 57,서울,동작구,사당동,240-15,분양,296,제일건축,17769.0,187.0,126.96955,37.4829384,2,7.0,5,9,47.0,3,5,4,186.0,3.332204510175204,20.0,8.0,33.0,0
A13780006,반포경남,아파트,,서울,서초구,반포동,경남아파트,분양,1056,경남기업,105707.0,0.0,126.9997628,37.5058321,6,8.0,5,4,33.0,0,4,4,67.0,4.262679877041316,29.0,11.0,11.0,3
A15286802,구로현대상선,아파트,서울특별시 구로구 구일로10길 53,서울,구로구,구로동,,분양,290,현대산업,21836.0,158.0,126.8750782,37.4960424,3,3.0,5,6,38.0,1,1,2,157.0,3.1780538303479458,26.0,14.0,16.0,3
A15381402,독산계룡,아파트,서울특별시 금천구 범안로15길 7,서울,금천구,독산동,,분양,154,계룡건설,11034.0,160.0,126.8927936,37.4671531,5,2.0,9,3,37.0,3,2,3,133.0,2.70805020110221,20.0,13.0,46.0,3
A15286809,구로주공,아파트,서울특별시 구로구 구일로4길 65,서울,구로구,구로동,685-222~3,분양,2126,대한주택공사,142048.0,1200.0,126.8755006,37.4935926,3,5.0,8,5,36.0,1,1,3,150.0,3.218875824868201,26.0,14.0,18.0,3
A14319002,자양한강극동,아파트,서울특별시 광진구 능동로3길 53,서울,광진구,자양동,57-103,분양,158,극동건설주식회사,13343.0,160.0,127.0644764,37.5336956,2,4.0,0,3,47.0,2,2,5,86.0,2.70805020110221,24.0,15.0,32.0,3
A10027354,올림픽파크한양수자인,아파트,,서울특별시,강동구,성내동,성내올림픽파크한양수자인아파트,,482,(주)한양,38643.0,583.0,127.128374,37.526798,1,8.0,4,5,44.0,2,2,3,123.0,3.555348061489413,25.0,5.0,35.0,3
A13316001,서울숲아이파크,아파트,서울특별시 성동구 동일로 237,서울,성동구,송정동,서울숲아이파크,,241,현대산업개발,20757.0,286.0,127.0688097,37.5525834,3,7.0,8,4,20.0,2,3,4,94.0,2.4849066497880004,29.0,12.0,38.0,3
A10023665,우림 루미아트,아파트,,서울,마포구,망원동,,분양,119,우림건설,8786.0,117.0,126.90111,37.5597,3,3.0,14,4,25.0,3,2,1,108.0,3.258096538021482,12.0,14.0,51.0,3
A13079403,이문쌍용임대,아파트,서울특별시 동대문구 한천로58길 75-45,서울,동대문구,이문동,64-1,임대,245,쌍용건설,7438.0,0.0,127.0679412,37.6017621,1,8.0,4,3,35.0,1,2,2,146.0,2.995732273553991,14.0,15.0,26.0,3
A15876402,신정삼성SH임대,아파트,서울특별시 양천구 신목로 5,서울,양천구,신정동,1278-1,임대,506,서울주택도시공사,16577.0,177.0,126.8762766,37.5171091,4,5.0,2,3,25.0,2,3,2,140.0,4.204692619390966,26.0,17.0,21.0,3
A10023673,반포 르엘 아파트,아파트,서울특별시 서초구 신반포로23길 23,서울,서초구,잠원동,,,596,롯데건설,54606.0,1054.0,127.002832,37.507594,6,7.0,7,4,34.0,0,3,4,73.0,4.499809670330265,27.0,11.0,12.0,3
A13312302,성수롯데캐슬,아파트,서울특별시 성동구 성수일로8길 47,서울,성동구,성수동2가,성수롯데캐슬파크,분양,604,롯데건설(주),57821.0,884.0,127.0559785,37.5460554,3,5.0,9,4,37.0,2,3,3,86.0,1.9459101490553128,28.0,13.0,36.0,3
A13824006,잠실파크리오,아파트,서울특별시 송파구 올림픽로 435,서울,송파구,신천동,파크리오,분양,6864,6개 시공사,597298.0,9486.0,127.1093216,37.5212508,2,7.0,4,3,53.0,2,3,2,114.0,3.4011973816621555,28.0,11.0,20.0,3
A13082805,이문e-편한세상,아파트,서울특별시 동대문구 한천로63길 10,서울,동대문구,이문동,,분양,1378,대림산업(주),114463.0,1616.0,127.0648775,37.6047456,2,9.0,1,5,28.0,1,2,3,133.0,2.995732273553991,13.0,14.0,22.0,3
A15885306,신정쌍용,아파트,서울특별시 양천구 신목로 9,서울,양천구,신정동,,분양,270,쌍용건설,22853.0,180.0,126.8758354,37.5181035,4,5.0,5,3,26.0,2,2,2,139.0,4.454347296253507,29.0,17.0,22.0,3
A15009505,문래두산위브,아파트,서울특별시 영등포구 선유로9나길 8,서울,영등포구,문래동5가,14번지,분양,383,두산건설,27231.0,350.0,126.8858207,37.5168776,3,8.0,8,1,33.0,1,3,2,143.0,2.995732273553991,18.0,19.0,30.0,3
A15728004,마곡수명산파크2단지,아파트,서울특별시 강서구 강서로47길 158,서울,강서구,내발산동,발산택지개발지구,,629,"두산, 이수건설",46505.0,710.0,126.8318783,37.5565695,2,5.0,0,2,72.0,2,2,2,151.0,3.555348061489413,22.0,6.0,37.0,3
A13776510,반포힐스테이트,아파트,서울특별시 서초구 신반포로16길 15-20,서울,서초구,반포동,반포힐스테이트,분양,397,(주)현대건설,42873.0,699.0,126.9968046,37.5012624,6,7.0,11,5,18.0,0,4,4,70.0,3.295836866004329,38.0,7.0,18.0,3
A13382106,성수동아,아파트,서울특별시 성동구 왕십리로 80-1,서울,성동구,성수동1가,,분양,390,동아주택,29315.0,320.0,127.0454954,37.5442259,2,5.0,7,6,21.0,2,2,3,63.0,2.8903717578961645,19.0,13.0,44.0,3
A15286806,중앙구로하이츠,아파트,서울특별시 구로구 구일로8길 92,서울,구로구,구로동,685-124 중앙구로하이츠 관리사무소,분양,579,(주)중앙개발,42918.0,408.0,126.8762765,37.4968215,2,2.0,3,7,42.0,1,1,2,163.0,2.9444389791664403,26.0,15.0,19.0,3
A10025116,e편한세상독산더타워아파트,아파트,서울특별시 금천구 범안로 1212,서울,금천구,독산동,,분양,432,대림산업,28706.0,449.0,126.896182,37.465826,5,2.0,5,4,40.0,3,2,3,151.0,2.833213344056216,19.0,12.0,46.0,3
A15205108,구일우성아파트,아파트,서울특별시 구로구 구일로2길 60,서울,구로구,구로동,구일우성아파트,분양,829,(주)우성건설,66439.0,0.0,126.8769093,37.4902883,4,4.0,7,5,37.0,0,2,4,137.0,2.5649493574615367,30.0,13.0,18.0,3
A15286807,구로현대연예인,아파트,서울특별시 구로구 구일로4길 46,서울,구로구,구로동,현대연예인아파트,분양,735,현대산업개발(주),56658.0,680.0,126.8771082,37.4929871,3,5.0,6,5,37.0,1,1,4,158.0,2.833213344056216,28.0,14.0,21.0,3
A10023951,광진그랜드파크,아파트,서울특별시 광진구 광나루로 458,서울,광진구,구의동,,분양,730,디엘이앤씨,69744.0,1033.0,127.0757555,37.544273,2,5.0,1,4,43.0,1,2,3,133.0,1.6094379124341005,32.0,11.0,34.0,3
A13402204,강변그대가리버뷰,아파트,서울특별시 강동구 올림픽로89길 58,서울,강동구,천호동,568569,분양,225,임광토건(주),19118.0,265.0,127.1233659,37.5483376,4,3.0,0,6,49.0,1,2,2,111.0,2.639057329615259,12.0,8.0,44.0,3
A10026197,문래동모아미래도아파트,아파트,서울특별시 영등포구 선유로9나길 5,서울,영등포구,문래동5가,문래동5가 문래동모아미래도아파트,,222,미래도건설,18399.0,251.0,126.8867198,37.51727072,3,8.0,9,1,35.0,1,3,1,146.0,3.1354942159291497,18.0,19.0,30.0,3
A10024925,문래롯데캐슬아파트,아파트,서울특별시 영등포구 선유로9길 30,서울,영등포구,문래동6가,,임대,499,롯데건설(주),28228.0,,126.8848656,37.51840229,3,8.0,8,1,32.0,2,3,2,135.0,2.995732273553991,25.0,18.0,30.0,3
A12187904,DMC마포청구아파트,아파트,서울특별시 마포구 성암로11길 60,서울,마포구,중동,390,분양,420,청구건설,35638.0,1.0,126.9020362,37.5740861,1,8.0,8,4,32.0,3,2,2,157.0,1.791759469228055,20.0,12.0,20.0,3
A14085002,원효산호,아파트,서울특별시 용산구 원효로 66,서울,용산구,원효로4가,118-16,분양,554,한양건설,46298.0,0.0,126.9503821,37.5327172,3,9.0,8,6,29.0,1,2,4,80.0,2.639057329615259,27.0,13.0,18.0,3
A15288804,신도림우성3차,아파트,서울특별시 구로구 신도림로21길 25,서울,구로구,신도림동,637번지,분양,284,우성건설,24070.0,181.0,126.8843198,37.5130829,3,6.0,5,3,31.0,1,2,2,149.0,3.1780538303479458,20.0,22.0,23.0,3
A13009101,휘경롯데낙천대,아파트,서울특별시 동대문구 외대역동로1길 24,서울,동대문구,휘경동,109,분양,239,(주)롯데건설,21792.0,329.0,127.063941,37.5917499,0,6.0,4,5,41.0,3,1,3,126.0,2.833213344056216,11.0,18.0,31.0,3
A13784401,방배브라운가,아파트,서울특별시 서초구 방배로19길 67,서울,서초구,방배동,,분양,161,흥화공업(주),15462.0,218.0,126.9919326,37.4835259,4,6.0,6,7,48.0,1,3,3,91.0,3.828641396489095,30.0,5.0,27.0,3
A15286805,구로한신1차,아파트,서울특별시 구로구 구일로8길 63,서울,구로구,구로동,642-9,분양,488,한신공영,21896.0,126.0,126.8737607,37.4963839,4,3.0,8,4,36.0,1,2,2,165.0,2.833213344056216,26.0,14.0,14.0,3
A15010203,양평벽산,아파트,서울특별시 영등포구 선유서로21길 19,서울,영등포구,양평동2가,23,분양,417,한국건업,24913.0,400.0,126.883568,37.5221895,3,6.0,6,1,40.0,1,2,4,119.0,2.3978952727983707,26.0,19.0,37.0,3
A15010202,양평삼성래미안,아파트,서울특별시 영등포구 영등포로3길 9,서울,영등포구,양평동2가,"양평동2가, 삼성아파트",분양,388,삼성물산,30974.0,87.0,126.882579,37.5244017,3,6.0,4,1,41.0,1,2,4,129.0,2.9444389791664403,29.0,19.0,33.0,3
A15876401,서울주택도시공사 목동현대B 임대아파트,아파트,서울특별시 양천구 신목로 10,서울,양천구,신정동,1279-1,임대,564,현대건설,18477.0,0.0,126.8766622,37.5181305,4,5.0,3,2,26.0,2,2,2,134.0,4.31748811353631,28.0,17.0,24.0,3
A13077702,휘경 미소지움아파트,아파트,서울특별시 동대문구 망우로 105,서울,동대문구,휘경동,106번지,분양,345,신성건설,26182.0,401.0,127.0644927,37.5915179,0,6.0,5,5,40.0,3,1,3,130.0,2.772588722239781,11.0,18.0,29.0,3
A13528004,대치미도맨션,아파트,서울특별시 강남구 삼성로 150,서울,강남구,대치동,서울시 강남구 대치2동 511번지 미도아파트관리사무소,분양,2436,한보주택(주),300675.0,2997.0,127.067338,37.4933854,3,9.0,1,4,42.0,2,3,3,81.0,4.394449154672439,34.0,8.0,16.0,3
A15010201,양평상록수,아파트,서울특별시 영등포구 영등포로 17,서울,영등포구,양평동2가,,,176,(주)건영,8292.0,80.0,126.8835422,37.5237845,4,6.0,5,1,37.0,1,2,4,134.0,2.4849066497880004,29.0,19.0,34.0,3
